varname,failed_checks,data_type,author,size
min_pv_mean_r_over_v,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,azelinski|ctseng,386848.75
ibes_pdet_pred_ann_ret_up_quarter,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,100627.09375
ibes_pdet_high_pred_ann_ret_quarter,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,79455.7109375
ws_1201_q,check_not_all_zero_or_nan_valid,raw|adj,ctseng,32948.375
ibes_xdet_opr_a_all_20days_avg,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,30363.59375
ws_3151_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,18116.3046875
bbg_tot_hold_rec_next_a1,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,782.6543579101562
ws_8141_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,606.5462646484375
bbg_tot_hold_rec_next_a2,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,142.342041015625
bbg_best_px_cps_ratio_next_a1,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,0.0
bbg_splc_supplier_sga_count,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,0.0
bbg_tot_sell_rec_next_a2,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,0.0
fast_bps_cube_q_change_over_20days_avg,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,ctseng,0.0
ibes_sum_ebs_median_next_q2,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ibes_sum_ebs_median_next_q3,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ibes_sum_opr_stddev_next_q2,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
top100_nonordic,check_nonnan_nonzero_cnt_min,adj_amend|raw|adj,ctseng,0.0
ws_2201_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_3063_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_3069_q,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_3101_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_3499_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_4051_q,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_4053_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_4651_q,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_4826_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_4826_q,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_4900_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_8106_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
ws_8411_a,check_not_all_zero_or_nan_valid,raw|adj,ctseng,0.0
markit_Dev_ChgInvAvgAst,check_nonnan_nonzero_cnt_min,raw|adj,ctseng|wdeng,63953.2734375
markit_Dev_LASales,check_nonnan_nonzero_cnt_min,raw|adj,ctseng|wdeng,8651.6689453125
markit_Dev_NCFEPS,check_nonnan_nonzero_cnt_min,raw|adj,ctseng|wdeng,3983.51123046875
markit_Dev_COGSINVT,check_nonnan_nonzero_cnt_min,raw|adj,ctseng|wdeng,63.133697509765625
fs_al_ac_cap_lease_commit_yr2_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_cap_lease_commit_yr3_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_cap_lease_commit_yr4_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_cap_lease_commit_yr5_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_lease_commit_yr2_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_lease_commit_yr3_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_lease_commit_yr4_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_lease_commit_yr5_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_oper_lease_commit_yr2_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_oper_lease_commit_yr3_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_oper_lease_commit_yr4_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_oper_lease_commit_yr5_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_commit_5yr_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_commit_tot_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_commit_yr1_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_commit_yr2_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_commit_yr3_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_commit_yr4_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_commit_yr5_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_opt_5yr_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_opt_yr3_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_opt_yr4_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_ac_purch_opt_yr5_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_rev_pass_dom_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_al_rev_pass_intl_af,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_rev_home_ltm_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_sell_price_backlog_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_sell_price_deliv_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_sell_price_orders_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_sell_price_orders_saf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_units_num_backlog_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_units_num_deliv_ltm_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_units_num_deliv_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_units_num_orders_saf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_value_backlog_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_value_orders_ltm_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_value_orders_ltm_saf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_value_orders_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_hb_value_orders_saf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
fs_rt_stores_type_lease_tot_qf,check_not_all_zero_or_nan_valid,adj_amend|raw|adj,hgupta,0.0
rfi_VTDT,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,3798.20947265625
rfi_VTIT,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,3798.20947265625
rfi_VXSC,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,3798.20947265625
rfi_SDAJ,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,697.8470458984375
rfi_AUPN,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_CGPD,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_EFEX,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_EFPR,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_EIIN,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_EINN,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_EPAC,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_ERII,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_EUAC,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_IPOL,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_LINR,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_LUPR,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
rfi_NCCF,check_not_all_zero_or_nan_valid,raw|adj,jzhou|azelinski|wdeng,0.0
