varname,failed_checks,data_type,author,size
tdnet_BS_DEF_TAX_OTHER_ASSET_prior,check_not_all_zero_or_nan_valid,adj|raw,bhuang|yyoo,7381.74658203125
tdnet_BS_DEF_TAX_OTHER_ASSET,check_not_all_zero_or_nan_valid,adj|raw,bhuang|yyoo,6841.931640625
tdnet_BS_DEF_TAX_CUR_ASSET,check_not_all_zero_or_nan_valid,adj|raw,bhuang|yyoo,4824.3134765625
tdnet_BS_DEF_TAX_CUR_ASSET_prior,check_not_all_zero_or_nan_valid,adj|raw,bhuang|yyoo,1844.78857421875
bbg_splc_customer_all_avg_ret1,check_nonzero_nonnan_cnt_valid,adj|raw|adj_amend,ctseng,120567.5390625
ibes_xrdt_avg_rat_quarter,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng,86746.140625
bbg_splc_customer_all_dist_ret1,check_nonzero_nonnan_cnt_valid,adj|raw|adj_amend,ctseng,62931.0625
ibes_xrdt_low_rat_quarter,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng,52110.26171875
ibes_xrdt_num_rat_quarter,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng,36343.765625
bbg_splc_customer_other_dist_ret1,check_nonzero_nonnan_cnt_valid,adj|raw|adj_amend,ctseng,32253.935546875
bbg_splc_customer_other_avg_ret1,check_nonzero_nonnan_cnt_valid,adj|raw|adj_amend,ctseng,26887.5
bbg_splc_supplier_all_avg_ret1,check_nonzero_nonnan_cnt_valid,adj|raw|adj_amend,ctseng,23432.876953125
ibes_xrdt_high_rat_quarter,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng,22903.98046875
ibes_xdet_csh_q_all_same_analyst_change_over_20days_avg,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,ctseng,4809.62353515625
ibes_xdet_csh_a_all_same_analyst_change_binary,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,ctseng,2170.128662109375
bbg_splc_supplier_all_dist_ret1,check_nonzero_nonnan_cnt_valid,adj|raw|adj_amend,ctseng,337.90252685546875
ibes_sum_ebs_stddev_next_a2,check_not_all_zero_or_nan_valid,adj|raw,ctseng,68.8021011352539
bbg_splc_customer_rnd_avg_ret1,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,ctseng,0.0
bbg_splc_customer_rnd_count,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,ctseng,0.0
bbg_splc_customer_rnd_dist_ret1,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,ctseng,0.0
ibes_sum_cps_stddev_next_q3,check_not_all_zero_or_nan_valid,adj|raw,ctseng,0.0
ibes_sum_ebs_stddev_next_a1,check_not_all_zero_or_nan_valid,adj|raw,ctseng,0.0
ibes_sum_ndt_stddev_next_q2,check_not_all_zero_or_nan_valid,adj|raw,ctseng,0.0
ibes_sum_ndt_stddev_next_q3,check_not_all_zero_or_nan_valid,adj|raw,ctseng,0.0
ibes_sum_ndt_stddev_next_q4,check_not_all_zero_or_nan_valid,adj|raw,ctseng,0.0
ibes_xdet_csh_a_all_same_analyst_change_over_20days_avg,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng,0.0
ibes_xdet_tbv_a_all_same_analyst_change_over_20days_avg,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,ctseng,0.0
ibes_xdet_tbv_a_all_same_analyst_change_yield,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,ctseng,0.0
mcorr_1min_delay_close_mret_volume_1d,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng|hwang|imajer|rbokam|ssrivastava,227843.8125
mcorr_1min_delay_mret_close_volume_5d_afternoon,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng|hwang|imajer|rbokam|ssrivastava,125223.9375
mcorr_1min_delay_mret_close_volume_1d_afternoon,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng|hwang|imajer|rbokam|ssrivastava,121354.3203125
mcorr_1min_delay_mret_close_mret_volume_1d_afternoon,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng|hwang|imajer|rbokam|ssrivastava,68442.84375
mcorr_1min_delay_mret_close_mret_volume_1d,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng|hwang|imajer|rbokam|ssrivastava,56723.140625
mcorr_1min_delay_close_mret_volume_1d_afternoon,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng|hwang|imajer|rbokam|ssrivastava,32046.416015625
mcorr_mret_close_1min_delay_volume_20d_afternoon,check_nonnan_nonzero_cnt_min,adj|raw|adj_amend,ctseng|hwang|imajer|rbokam|ssrivastava,10415.72265625
trna_pos_coverage,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,echung|szhou,77206.9375
trna_neg_coverage,check_not_all_zero_or_nan_valid,adj|raw|adj_amend,echung|szhou,32194.828125
